head,date,text,景気,物価,金利,マネーサプライ,貿易収支,雇用,個人消費,介入,要人発言,他通貨,石油,政治,株,債権
本日の予定【経済指標】,2009年2月2日（月）07:11:00,"【スイス】
＊SVME購買担当者景況指数（PMI）（1月）17:30
予想　36.0　前回　36.9

【香港】
＊小売売上高（12月）17:30
予想　-4.4%　前回　1.1%（前年比）
予想　-6.5%　前回　-2.8%（数量ベース・前年比）

【ユーロ圏】
＊ドイツ製造業PMI・確報値（1月）17:55
予想　32.0　前回　32.0

＊ユーロ圏製造業PMI・確報値（1月）18:00
予想　34.5　前回　34.5

【イギリス】
＊CIPS製造業PMI（1月）18:30
予想　34.5　前回　34.9

【アメリカ】
＊PCEコアデフレータ（12月）22:30
予想　0.0%　前回　0.0%（前月比）
予想　1.7%　前回　1.9%（前年比）

＊PCEデフレータ（12月）22:30
予想　1.0%　前回　1.4%（前年比）

＊個人支出（12月）22:30
予想　-0.9%　前回　-0.6%（前月比）

＊個人所得（12月）22:30
予想　-0.4%　前回　-0.2%（前月比）

＊ISM製造業景気指数（1月）3日0:00
予想　32.5　前回　32.9（32.4から修正）

＊建設支出（12月）3日0:00
予想　-1.2%　前回　-0.6%（前月比）",,,,,,,,,,,,,,
本日の予定【発言・イベント】,2009年2月2日（月）07:20:00,"17:00　金融庁長官　会見
17:30　財務次官　会見

20日発表予定の米企業決算
＊は金融株　（）は予想1株当たり利益、単位:ドル
＊アフラック（1.001）
サンディスク（-0.611）
両者とも通常取引終了後、決算発表予定",,,,,,,,,,,,,,
東京市場　ピボット分析（主要国通貨）,2009年2月2日（月）08:01:00,"東京時間7:00現在

ドル円
終値89.92　高値90.15　安値89.16

91.32　ハイブレイク
90.73　抵抗2
90.33　抵抗1
89.74　ピボット
89.34　支持1
88.75　支持2
88.35　ローブレイク

ユーロドル
終値1.2813　高値1.2958　安値1.2764

1.3120　ハイブレイク
1.3039　抵抗2
1.2926　抵抗1
1.2845　ピボット
1.2732　支持1
1.2651　支持2
1.2538　ローブレイク

ポンドドル
終値1.4541　高値1.4544　安値1.4188

1.5017　ハイブレイク
1.4780　抵抗2
1.4661　抵抗1
1.4424　ピボット
1.4305　支持1
1.4068　支持2
1.3949　ローブレイク

ドルスイス
終値1.1619　高値1.1660　安値1.1517

1.1823　ハイブレイク
1.1742　抵抗2
1.1680　抵抗1
1.1599　ピボット
1.1537　支持1
1.1456　支持2
1.1394　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（資源国通貨）,2009年2月2日（月）08:02:00,"東京時間7:00現在

オージードル
終値0.6375　高値0.6525　安値0.6346

0.6664　ハイブレイク
0.6594　抵抗2
0.6485　抵抗1
0.6415　ピボット
0.6306　支持1
0.6236　支持2
0.6127　ローブレイク

キーウィドル
終値0.5089　高値0.5145　安値0.5048

0.5237　ハイブレイク
0.5191　抵抗2
0.5140　抵抗1
0.5094　ピボット
0.5043　支持1
0.4997　支持2
0.4946　ローブレイク

ドルカナダ
終値1.2296　高値1.2418　安値1.2213

1.2610　ハイブレイク
1.2514　抵抗2
1.2405　抵抗1
1.2309　ピボット
1.2200　支持1
1.2104　支持2
1.1995　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（クロス円）,2009年2月2日（月）08:03:00,"東京時間7:00現在

ユーロ円
終値115.24　高値116.68　安値114.62

118.47　ハイブレイク
117.57　抵抗2
116.41　抵抗1
115.51　ピボット
114.35　支持1
113.45　支持2
112.29　ローブレイク

ポンド円
終値130.73　高値130.90　安値126.72

136.36　ハイブレイク
133.63　抵抗2
132.18　抵抗1
129.45　ピボット
128.00　支持1
125.27　支持2
123.82　ローブレイク

スイス円
終値77.42　高値78.16　安値76.87

79.39　ハイブレイク
78.77　抵抗2
78.10　抵抗1
77.48　ピボット
76.81　支持1
76.19　支持2
75.52　ローブレイク

豪ドル円
終値57.15　高値58.81　安値56.89

60.26　ハイブレイク
59.54　抵抗2
58.34　抵抗1
57.62　ピボット
56.42　支持1
55.70　支持2
54.50　ローブレイク

NZドル円
終値45.78　高値46.36　安値45.25

47.45　ハイブレイク
46.91　抵抗2
46.34　抵抗1
45.80　ピボット
45.23　支持1
44.69　支持2
44.12　ローブレイク

カナダドル円
終値73.16　高値73.56　安値72.16

75.16　ハイブレイク
74.36　抵抗2
73.76　抵抗1
72.96　ピボット
72.36　支持1
71.56　支持2
70.96　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（新興国通貨）,2009年2月2日（月）08:04:00,"東京時間7:00現在

ランド円
終値8.82　高値9.02　安値8.74

9.26　ハイブレイク
9.14　抵抗2
8.98　抵抗1
8.86　ピボット
8.70　支持1
8.58　支持2
8.42　ローブレイク

シンガポールドル円
終値59.53　高値59.82　安値59.11

60.57　ハイブレイク
60.20　抵抗2
59.86　抵抗1
59.49　ピボット
59.15　支持1
58.78　支持2
58.44　ローブレイク

香港ドル円
終値11.60　高値11.62　安値11.50

11.77　ハイブレイク
11.69　抵抗2
11.65　抵抗1
11.57　ピボット
11.53　支持1
11.45　支持2
11.41　ローブレイク",,,,,,,,,,,,,,
東京市場　早朝、円買い優勢,2009年2月2日（月）08:21:00,"週明けの東京市場は円買いが優勢。早朝、ドル円は89.60付近、ユーロ円は114.25付近まで売られた。先週末のダウ平均は148ドル安と大幅安で取引を終えた。株安がリスク回避的な円買い圧力を促しているようだ。東京市場では注目度の高いイベントは予定されていない。値動きの手掛かりとして株価動向が注目されそうだ。特に旧正月明けの中国株市場には注目したい。

USD/JPY　89.73　EUR/JPY　114.67　GBP/JPY　129.73",,,,,,,,,,,,,,
IMM通貨先物　1月27日付　主要国通貨　ポンド、買い戻し,2009年2月2日（月）08:30:00,"円　　　49,007枚の買い越し　1,917枚の買い越し増
ユーロ　7,489枚の売り越し　91枚の売り越し減
ポンド　36,994枚の売り越し　2,043枚の売り越し減
スイス　10,188枚の売り越し　3,814枚の売り越し増

ポンド、スイスなど欧州通貨の一部が対ドルで買い戻された。一方、ユーロの売り越しはほぼ変わらず。",,,,,,,,,,,,,,
IMM通貨先物　1月27日付　資源国通貨　NZドル、売り越し増,2009年2月2日（月）08:35:00,"カナダドル　14,966枚の売り越し　381枚の売り越し増
豪ドル　3,415枚の売り越し　2,700枚の売り越し減
NZドル　4,297枚の売り越し　2,360枚の売り越し増

NZドルの売り越しが大幅増。大幅利下げに対する思惑から売りが膨らんだ。（1月29日、NZ準備銀行は1.50%の利下げを決定した）",,,,,,,,,,,,,,
寄付き前の外資系証券経由の注文状況1250万株の売り越し観測,2009年2月2日（月）08:37:00,"差し引き1250万株の売り越し観測
売り注文2330万株
買い注文1080万株",,,,,,,,,,,,,,
