head,date,text,景気,物価,金利,マネーサプライ,貿易収支,雇用,個人消費,介入,要人発言,他通貨,石油,政治,株,債権
NY市場　他金融市場　0時台　米株高値圏で推移、産業関連やハイテクに買い,2009年5月1日（金）00:10:00,"NY株式30日（NY時間11:06）
ダウ平均　　　8291.02（+105.29　+1.31%）
S&P500;　　　　887.23（+13.59　+1.59%）
ナスダック　　　1751.04（+39.10　+2.34%）

CME日経平均先物　9020（大証終比：+160　+1.78%）

出来高（億株）
NYSE　　　　4.24
ナスダック　8.77

欧州株式30日（GMT15:06）
英FT100　 4271.30（+81.71　+1.95%）
独DAX　　4814.96（+110.40　+2.35%）
仏CAC40　 3184.56（+67.62　+2.17%）

米国債利回り（NY時間11:06）
2年債　 　0.954（+0.000）
10年債　　3.161（+0.053）
30年債　　4.086（+0.058）

各国10年債
ユーロ圏　3.196（+0.065）
英　国　　3.509（+0.054）
カナダ　　3.135（+0.052）
豪　州　　4.569（+0.004）
日　本　　1.432（+0.012）

NY原油・金
NY原油先物6月限（WTI）（NY時間11:06）
1バレル＝51.36（+0.39　+0.77%）
NY金先物6月限（COMEX）
1オンス＝884.00（-16.50　-1.83%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,
NY市場　フィックスにかけてはカナダ買いも、ユーロカナダは安値更新,2009年5月1日（金）00:16:00,"ロンドンフィキシングにかけてはポンド買いのほか、カナダ買いも入った様子。ドルカナダは1.19台中盤から1.18台後半まで、ユーロカナダは1.5700水準までカナダ高推移。ユーロカナダはこの日の安値をつけた。ただ、カナダ買い一巡後の反転も早い。

EUR/CAD 1.5785 USD/CAD 1.1902",,,,,,,,,,,,,,
NY市場　米株式市場は高値更新の動き、円売りやドル売りが優勢に,2009年5月1日（金）00:25:00,"米株式市場で主要株価指数が高値更新の動きとなっており、円売りやドル売りが優勢となっている。ユーロ円は130円台後半まで、ポンド円は146円台前半まで水準を切り上げた。ポンドドルはロンドンフィックスにかけてポンド高推移した後、ドル安も加わって1.48台中盤まで反発。ユーロドルはNY朝方からの下げを消した。

ドル売り圧力はあるものの、ドル円はクロス円の円安推移にサポートされる格好で、98円台半ばで推移。ただ、ドル円では98.59水準に200日移動平均線が位置している。

EUR/USD 1.3271 GBP/USD 1.4834 USD/JPY 98.55 EUR/JPY 130.78 GBP/JPY 146.20",,,,,,,,,,,,,,
NY市場　フクダWHO事務局長補代理、直ちにフェーズ6への引き上げることはない,2009年5月1日（金）00:43:00,"フクダWHO事務局長補代理の発言が伝わっており、新型インフルエンザの警戒水準を直ちにパンデミックのフェーズ6へ引き上げることは無い、とした。現在のパンデミックアラートはフェーズ5。新型インフルエンザの感染者数はメキシコを中心に世界で236人となったとも述べた。

このほか、米国ではジョージア州や南カリフォルニアなどでも感染が疑われる症例が見つかったと報道されている。前日、テキサス州で新型インフルエンザの感染によって1歳11カ月の幼児が死亡した。

豚インフルエンザに対する警戒感が強まっているものの、NY勢が気にかけている様子は乏しく、ドル円やクロス円は堅調に推移、高値を更新する動きとなっている。

USD/JPY 98.82 EUR/JPY 130.74 AUD/JPY 72.40",,,,,,,,,,,,,,
NY市場　他金融市場　1時台　クライスラー破産申請へ、株式市場の重石に,2009年5月1日（金）01:11:00,"NY株式30日（NY時間12:05）
ダウ平均　　　8240.20（+54.47　+0.68%）
S&P500;　　　　880.58（+6.94　+0.81%）
ナスダック　　　1740.67（+28.73　+1.72%）

CME日経平均先物　8965（大証終比：+105　+1.17%）

出来高（億株）
NYSE　　　　5.82
ナスダック　12.20

欧州株式30日（GMT16:05）
英FT100　 4243.71（+54.12　+1.29%）
独DAX　　4769.45（+64.89　+1.38%）
仏CAC40　 3159.85（+42.91　+1.38%）

米国債利回り（NY時間12:05）
2年債　 　0.922（-0.032）
10年債　　3.123（+0.015）
30年債　　4.035（+0.008）

各国10年債
ユーロ圏　3.174（+0.043）
英　国　　3.503（+0.048）
カナダ　　3.115（+0.032）
豪　州　　4.569（+0.004）
日　本　　1.432（+0.012）

NY原油・金
NY原油先物6月限（WTI）（NY時間12:05）
1バレル＝50.91（-0.06　-0.12%）
NY金先物6月限（COMEX）
1オンス＝886.30（-14.20　-1.58%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,
NY市場　クライスラー、破産法11条の適用へ　政府支援受けて再建,2009年5月1日（金）01:12:00,"オバマ政権の当局者の発表が報道されている。クライスラーは直ちに破産法11条の適用を申請する、クライスラーの破産は30～60日間の見通し、とした。米政府とカナダ政府の支援を受けて再建されることになる。この発表を受けて米株式市場は上げ幅を削っているものの、大きな反応は出ていない。ここ数日間、ショック軽減のため、破綻に向けた地ならしが行われていたことで、動揺はあまり無い様子。

EUR/USD 1.3250",,,,,,,,,,,,,,
NY市場　日本でも豚インフルエンザ確認か、舛添厚生労働大臣が記者会見予定,2009年5月1日（金）01:32:00,"米当局者がクライスラー破綻申請について説明した後、オバマ米大統領の発言が伝えられている。クライスラーとフィアットの提携は成功への大きな可能性、クライスラーはより競争力のある企業として破綻から脱却すると確信、GMとクライスラーは復活する、など。

NY午後は円売りの動きが強まっており、ドル円や一部のクロス円は高値を更新。厚生労働省によると、新型インフルエンザに感染した疑いのある患者が、これまでの検査で確認されたと伝わっており、円売りにつながったとの指摘も。この後、舛添厚生労働大臣が記者会見を行い、詳しい状況を説明する予定。

USD/JPY 98.80 EUR/JPY 130.89",,,,,,,,,,,,,,
欧州株　終値,2009年5月1日（金）01:35:00,"欧州株式30日終値
英FT100　 4243.71（+54.12　+1.29%）
独DAX　　4769.45（+64.89　+1.38%）
仏CAC40　 3159.85（+42.91　+1.38%）",,,,,,,,,,,,,,
NY市場　米主要株価指数は上げ幅消す、クライスラーの破産申請が背景,2009年5月1日（金）01:54:00,"米政府が、クライスラーは破綻申請を行うと発表した後、プラス圏で推移していた米主要株価指数は失速している。ダウ平均など主要株価指数は上げ幅を消した。米株式市場の動きに沿って、リスク回避のドル高や円高の動きが見られる。ただ、日本で豚インフルエンザの感染が疑われる高校生が見つかったとの発表も材料視されている節があり、円高の動きはゆるい。円売りと円買い材料が交錯している。ドル円はこの日の高値圏に張り付き。

GBP/JPY 146.14 USD/JPY 98.83",,,,,,,,,,,,,,
NY市場　クライスラー、破産法11条の適用を申請,2009年5月1日（金）02:06:00,"クライスラーが破産法11条の適用を申請したと報道されている。米当局者が、クライスラーは直ちに破産申請を行うとの発表した直後は大きな反応はなかったが、石油株に売りが強まる格好で、ダウ平均とS&P500;は上げ幅を消した。

ユーロドルは予想を上回るシカゴPMIの発表後、この日の安値から反発したが、足元では再度押し戻されている。ポンドドルはフィックスにかけてのポンド買いもあって、この日の安値圏にはないが、リスク回避のドル高圧力の中、上値は重い。

EUR/USD 1.3224 GBP/USD 1.4794",,,,,,,,,,,,,,
