head,date,text,景気,物価,金利,マネーサプライ,貿易収支,雇用,個人消費,介入,要人発言,他通貨,石油,政治,株,債権
本日の予定【経済指標】,2009年3月2日（月）07:12:00,"【スイス】
＊SVME購買担当者景況指数（PMI）（2月）17:30
予想　34.8　前回　35.0

【香港】
＊小売売上高（1月）17:30
予想　4.0%　前回　0.8%（前年比）
予想　3.2%　前回　-0.7%（数量ベース・前年比）

【ユーロ圏】
＊ドイツ製造業PMI・確報値（2月）17:55
予想　32.2　前回　32.2

＊ユーロ圏製造業PMI・確報値（2月）18:00
予想　33.6　前回　33.6

＊ユーロ圏消費者物価指数・概算値速報（2月）19:00
予想　1.0%　前回　1.1%（前年比）

【イギリス】
＊CIPS製造業PMI（2月）18:30
予想　35.0　前回　35.8

【アメリカ】
＊PCEコアデフレータ（1月）22:30
予想　0.1%　前回　0.0%（前月比）
予想　1.6%　前回　1.7%（前年比）

＊PCEデフレータ（1月）22:30
予想　0.5%　前回　0.6%（前年比）

＊個人支出（1月）22:30
予想　0.4%　前回　-1.0%（前月比）

個人所得（1月）22:30
予想　-0.2%　前回　-0.2%（前月比）

＊ISM製造業景気指数（2月）3日0:00
予想　34.0　前回　35.6

＊建設支出（1月）3日0:00
予想　-1.5%　前回　-1.4%（前月比）

【カナダ】
＊GDP（12月）22:30
予想　-0.7%　前回　-0.7%（前月比）

＊GDP（第4四半期）
予想　-3.6%　前回　1.3%（年率換算）",,,,,,,,,,,,,,
本日の予定【発言・イベント】,2009年3月2日（月）07:38:00,"2日
17:00　杉本財務次官　会見

3日
1:30　ローゼングレン・ボストン連銀総裁　講演「金融危機と規制システム再編について」（ワシントン）
2:45　ラッカー・リッチモンド連銀総裁　講演「政府貸し出しと金融政策」（バージニア州アーリントン）
3:30　ロート・スイス連銀総裁　講演


決算発表
エジソン・インターナショナル　（0.645）
アメリカン・インターナショナル・グループ＊　（-0.369）
ペプコ・ホールディングズ　（0.294）
ウェンディーズ・アービーズ・グループ　（0.052）
アメリカン・キャピタル＊　（0.643）
＊は金融株　カッコ内は予想1株利益、単位:ドル",,,,,,,,,,,,,,
東京市場　ピボット分析（主要国通貨）,2009年3月2日（月）08:01:00,"ピボット分析　東京時間7:00現在

ドル円
終値97.58　高値98.61　安値96.86

100.26　ハイブレイク
99.43　抵抗2
98.51　抵抗1
97.68　ピボット
96.76　支持1
95.93　支持2
95.01　ローブレイク

ユーロドル
終値1.2669　高値1.2751　安値1.2604

1.2892　ハイブレイク
1.2822　抵抗2
1.2745　抵抗1
1.2675　ピボット
1.2598　支持1
1.2528　支持2
1.2451　ローブレイク

ポンドドル
終値1.4318　高値1.4366　安値1.4112

1.4673　ハイブレイク
1.4519　抵抗2
1.4419　抵抗1
1.4265　ピボット
1.4165　支持1
1.4011　支持2
1.3911　ローブレイク

ドルスイス
終値1.1689　高値1.1761　安値1.1614

1.1909　ハイブレイク
1.1835　抵抗2
1.1762　抵抗1
1.1688　ピボット
1.1615　支持1
1.1541　支持2
1.1468　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（資源国通貨）,2009年3月2日（月）08:02:00,"ピボット分析　東京時間7:00現在

オージードル
終値0.6390　高値0.6482　安値0.6340

0.6610　ハイブレイク
0.6546　抵抗2
0.6468　抵抗1
0.6404　ピボット
0.6326　支持1
0.6262　支持2
0.6184　ローブレイク

キーウィドル
終値0.5008　高値0.5085　安値0.4985

0.5167　ハイブレイク
0.5126　抵抗2
0.5067　抵抗1
0.5026　ピボット
0.4967　支持1
0.4926　支持2
0.4867　ローブレイク

ドルカナダ
終値1.2763　高値1.2763　安値1.2519

1.3088　ハイブレイク
1.2926　抵抗2
1.2844　抵抗1
1.2682　ピボット
1.2600　支持1
1.2438　支持2
1.2356　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（クロス円）,2009年3月2日（月）08:03:00,"ピボット分析　東京時間7:00現在

ユーロ円
終値123.61　高値125.55　安値122.12

128.83　ハイブレイク
127.19　抵抗2
125.40　抵抗1
123.76　ピボット
121.97　支持1
120.33　支持2
118.54　ローブレイク

ポンド円
終値139.64　高値141.17　安値136.73

146.07　ハイブレイク
143.62　抵抗2
141.63　抵抗1
139.18　ピボット
137.19　支持1
134.74　支持2
132.75　ローブレイク

スイス円
終値83.52　高値84.68　安値82.46

86.87　ハイブレイク
85.77　抵抗2
84.65　抵抗1
83.55　ピボット
82.43　支持1
81.33　支持2
80.21　ローブレイク

豪ドル円
終値62.33　高値63.86　安値61.43

66.08　ハイブレイク
64.97　抵抗2
63.65　抵抗1
62.54　ピボット
61.22　支持1
60.11　支持2
58.79　ローブレイク

NZドル円
終値48.87　高値50.13　安値48.32

51.70　ハイブレイク
50.92　抵抗2
49.89　抵抗1
49.11　ピボット
48.08　支持1
47.30　支持2
46.27　ローブレイク

カナダドル円
終値76.46　高値78.71　安値76.31

80.41　ハイブレイク
79.56　抵抗2
78.01　抵抗1
77.16　ピボット
75.61　支持1
74.76　支持2
73.21　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（新興国通貨）,2009年3月2日（月）08:04:00,"ピボット分析　東京時間7:00現在

ランド円
終値9.65　高値9.98　安値9.54

10.35　ハイブレイク
10.16　抵抗2
9.91　抵抗1
9.72　ピボット
9.47　支持1
9.28　支持2
9.03　ローブレイク

シンガポールドル円
終値63.09　高値64.06　安値62.52

65.47　ハイブレイク
64.76　抵抗2
63.93　抵抗1
63.22　ピボット
62.39　支持1
61.68　支持2
60.85　ローブレイク

香港ドル円
終値12.58　高値12.72　安値12.49

12.93　ハイブレイク
12.83　抵抗2
12.70　抵抗1
12.60　ピボット
12.47　支持1
12.37　支持2
12.24　ローブレイク",,,,,,,,,,,,,,
東京市場　EU緊急サミットに失望感、米AIGには追加資金提供の可能性,2009年3月2日（月）08:08:00,"2日早朝の東京市場ではドル高の動きが優勢。先週末の海外市場では、弱い米GDPやシティGの国有化を受けてリスク回避が強まる場面があった。本日も米AIGが米政府から300億ドルの追加資金を受け取る可能性があると伝えられている。また、EU緊急サミットで追加東欧支援が各国の判断に委ねられたことでユーロ売りの動きも見られる。

本日は米ISM製造業景況指数や米個人所得・支出や米PCEコアデフレータが注目される。また、今週は各国の政策金利発表が相次ぐ上、週末には米雇用統計の発表もある。

USD/JPY 97.50",,,,,,,,,,,,,,
IMM通貨先物　2月24日付　主要国通貨　円のネットロングが一段と縮小,2009年3月2日（月）08:34:00,"円		28,635枚の買い越し  7,553枚の買い越し減
ユーロ		10,081枚の売り越し  5,356枚の売り越し減
ポンド		28,282枚の売り越し  2,288枚の売り越し減
スイス		11,188枚の売り越し  50枚の売り越し増

円のネットロングが3週連続の減少し、昨年11月以来に2万枚台へ。ユーロやポンドのネットショートも減少。",,,,,,,,,,,,,,
IMM通貨先物　2月24日付　資源国通貨　各通貨でドル買い増加,2009年3月2日（月）08:35:00,"カナダドル	12,965枚の売り越し  56枚の売り越し増
豪ドル		5,583枚の売り越し  1,707枚の売り越し減
NZドル		5,930枚の売り越し  1,348枚の売り越し増

豪ドルのネットショートが減少した一方で、NZドルのネットショートは増加。カナダのポジションの変化はわずか。",,,,,,,,,,,,,,
寄付き前の外資系証券経由の注文状況　差し引き1130万株の売り越し観測,2009年3月2日（月）08:38:00,"差し引き1130万株の売り越し観測
売り注文　2070万株
買い注文　940万株",,,,,,,,,,,,,,
米株価指数先物　時間外取引　急落、米AIGの先行き不透明感強い,2009年3月2日（月）08:44:00,"東京時間08:44現在
ダウ平均先物3月限　6983.00（-69.00　-1.00%）
S&P500;先物3月限　725.50（-8.70　-1.18%）
NASDAQ100先物3月限　1104.25（-12.75　-1.14%）",,,,,,,,,,,,,,
東京市場　米シティＧに続く米政府管理への懸念、序盤からリスク回避優勢,2009年3月2日（月）08:51:00,"早朝からリスク回避的な動きが続いている。米AIGの先行きを巡る不透明感などから米株価先物は取引開始から急落しており、円買いやドル買いが優勢となっている。米シティGに続き、米政府管理の金融機関が増える可能性も意識されており、先週末の流れを引き継いでいる。豪ドル/ドルにはマクロ系ファンドの売りが観測されたほか、リスク回避の動きの中でNZドル/ドルは2002年11月以来の安値をつけた。ユーロドルは1.2600割れのストップを絡めて1.2584レベルまで下落。

EUR/USD 1.2595 AUD/USD 0.6340 NZD/USD 0.4954",,,,,,,,,,,,,,
日経平均　寄り付き　114.14円安　7454.28円,2009年3月2日（月）09:02:00,,,,,,,,,,,,,,,
今週の新規投信設定情報  ,2009年3月2日（月）09:20:00,"2009/03/05

ファンド名／投信会社／募集総額（百万円）

野村グローバル金融株0903／野村アセットマネジメント／120000

2009/03/06

ファンド名／投信会社／募集総額（百万円）

三菱UFJ　日本割安株30　2009-03／三菱UFJ投信／50000
割安株ジャパン（限定追加型）／野村アセットマネジメント／50000",,,,,,,,,,,,,,
東京市場　ダウ平均先物は7000台割れ、リスク回避続く,2009年3月2日（月）09:28:00,"ドル円は97円台前半で推移。米株価先物が軟調に推移していることで、クロス円が軟化し、ドル円も圧迫されている。ユーロ円は122円台前半、ポンド円は138円台前半で、先週末のNYクローズから下落。日経平均は200円超下げている。対主要通貨でリスク回避のドル買いが入っていることで、ドル円をサポートしている側面もあるが、円買い圧力のほうが勝っている。

USD/JPY 97.21 EUR/JPY 122.24 GBP/JPY 138.18",,,,,,,,,,,,,,
NY原油・金　時間外取引　原油、株安受けてリスク回避の売り優勢,2009年3月2日（月）09:35:00,"東京時間09:14現在
NY原油先物4月限（WTI）（時間外取引）
1バレル＝44.07（-0.69　-1.54%）
NY金先物4月限（COMEX）（時間外取引）
1オンス＝952.10（+9.60　+1.02%）

27日に発表された米国の第4四半期GDPの結果を受けて需給圧迫懸念が続いているほか、株式市場が軟調なことで、1％超下落し44ドルちょうど付近まで下落している。米株価先物は、米AIGや米シティGなど米金融機関の先行き不透明感から70ポイント程度軟調に推移。一方で、安全資金としてのリスク回避でNY金先物はの950ドル台まで上昇。",,,,,,,,,,,,,,
東京仲値　97.14円　三菱東京UFJ銀行,2009年3月2日（月）09:56:00,,,,,,,,,,,,,,,
中国人民銀行　人民元中心レート　1ドル＝6.8389元,2009年3月2日（月）10:18:00,,,,,,,,,,,,,,,
東京市場　明日は豪中銀金利発表、一部に据え置き見通しも,2009年3月2日（月）10:21:00,"豪ドル/ドルは0.6320レベルで推移。株安を受けたリスク回避で一時は0.63割れまで下落。マクロ系ファンドの売りが観測されていた。ただ、リスク回避の円買いやドル買いが一巡する中で、豪ドル/ドルも下げ一服。
明日の豪中銀金利発表では、0.25％の利下げが予想されている。先週の段階では、0.50％の利下げ見通しが中心だったものの、据え置き予想もちらほらと見られることから、金利見通しの中央値も切り上がってきた。前回のスティーブンス豪中銀総裁の証言や、悲観的な景気見通しを背景に予想が分かれている。

AUD/USD 0.6326",,,,,,,,,,,,,,
通貨オプション　ボラティリティー　短期以降はしっかり,2009年3月2日（月）10:50:00,"USD/JPY　　EUR/USD　　EUR/JPY　　GBP/USD
1WK　　　　20.20　　　　17.01　　　　23.18　　　　20.51
1MO　　　　18.49　　　　17.65　　　　23.33　　　　20.00
3MO　　　　17.47　　　　17.75　　　　23.01　　　　19.50
6MO　　　　16.35　　　　17.65　　　　22.68　　　　19.10
9MO　　　　15.59　　　　17.55　　　　22.47　　　　18.90
1YR　　　　15.07　　　　17.35　　　　22.33　　　　18.75

　　　　　　　　　
　　　GBP/JPY　　AUD/USD　　USD/CHF
1WK　　　　26.68　　　　23.51　　　　14.76
1MO　　　　27.09　　　　23.01　　　　15.40
3MO　　　　26.47　　　　22.25　　　　15.45
6MO　　　　26.04　　　　21.50　　　　15.15
9MO　　　　25.79　　　　21.25　　　　14.98
1YR　　　　25.63　　　　21.00　　　　14.75
東京時間10:00現在　参考値

先週末のロンドン午前と比較すると、短期中心にボラはやや低下している一方で、短期以降のボラは堅調。スポットの円安推移の中でボラは低下してきたものの、調整一服感もある。",,,,,,,,,,,,,,
